Questions,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13
"[[2]]""Who, me? Hey, I got into research for ______ and ______.""",Coding.,A contract.,Scholarly communications.,,Shameless self-promotion.,Research participants.,,Increasing my audience.,A research associate.,Being recognised for my work.,,,
[[2]]______ leads to great ______.,Data management planning.,Career progress.,Consent forms.,Using human participants.,Complying with my funder.,Research grants.,Open research.,Metrics.,,,,,
[[2]]______! Huh! What is it good for? Absolutely ______.,The library's research data service.,Data management planning.,The library's research support team.,Open Access.,Publishing my data.,Citations.,Patient consent.,Open data.,,,,,
[[2]]A recent study shows researchers have 60% more ______ after ______.,Citations.,A data access statement.,The data access statement.,,Data publications.,,,,,,,,
"[[2]]I added ______ to  ______, and got more collaborators.",The DOI.,My dataset.,Senior academics.,Public funding.,My co-author.,Data publications.,Dryad.,Github.,A repository.,An accepted manuscript.,Gold Open Access.,,
"[[2]]I didn't submit ______, and now I can't get ______.",My dataset.,Being accepted for publication.,Consent forms.,An open dataset.,Public funding.,Industrial partners.,,,,,,,
"[[2]]I left ______ on the bus, and now I haven't got ______.",A laptop.,A flash drive.,My memory stick.,Information security.,The data set.,The dataset.,My PhD.,,,,,,
"[[2]]I submitted to ______, but all I had was ______.",MRC.,COAF.,The Wellcome Trust.,EPSRC.,An inadequate data management plan.,An unpublished dataset.,Predatory publishers.,Money.,Third-party data.,,,,
[[2]]Impact is the total of: ______ + ______.,Being cited by other researchers.,Citations.,References.,Public engagement.,Publishing my data.,Improving my research visibility.,,Publishing in a journal.,Research reproducibility.,,,,
"[[2]]In academia, the word is that you can trade ______ for ______.",Money.,Research grants.,Research metrics,Senior academics.,Status.,My social media profile.,Getting funding.,Having no money.,,,,,
[[2]]My funding came from ______ and they want ______.,COAF.,UKRI.,Research England.,A CC-BY licence.,A Creative Commons licence.,Research data storage.,,Open Access.,Public engagement.,Publishing compliantly.,The funder's nominated data repository.,,
"[[2]]My PI applied for ______, and all I got was this lousy ______.",Research grants.,A flash drive.,Patient consent.,A laptop.,The full dataset.,Third-party data.,Open access.,Vanity publishers.,,,,,
